decay,probe_tokens,margin,context_buckets,mean_time_ratio,worst_case_mean_ratio,geomean_speedup_vs_default,selection_score
0.0,16,0.03,True,0.8668068421840076,1.0737385362322973,0.9438321381402445,0.8905453784163049
0.0,32,0.03,True,0.8842246839355474,1.0392042362423934,0.9203534976136962,0.8842246839355474
0.0,64,0.03,True,0.93251802493038,1.0262766035460673,0.8662763449228048,0.93251802493038
0.0,128,0.03,True,0.9656406346316574,1.020101266347247,0.8347158251537748,0.9656406346316574
0.5,16,0.03,True,0.8298199181045246,1.0685367934550747,0.993260415495398,0.8483567115595992
0.5,32,0.03,True,0.8170309841368616,1.0372248482343422,1.0093108750727837,0.8170309841368616
0.5,64,0.03,True,0.8553542015569721,1.024619520820505,0.963547559301712,0.8553542015569721
0.5,128,0.03,True,0.8817576969629902,1.0186024069906692,0.937221665843144,0.8817576969629902
0.8,16,0.03,True,0.8266935895445584,1.0682113702190783,0.9987435876182156,0.8449049597636367
0.8,32,0.03,True,0.8124945916780069,1.0373407225312152,1.0163318986725842,0.8124945916780069
0.8,64,0.03,True,0.8418120052564119,1.0240123751290302,0.9818708218799385,0.8418120052564119
0.8,128,0.03,True,0.873100711965619,1.0182421709242506,0.9501112766645676,0.873100711965619
0.95,16,0.03,True,0.8273713663752018,1.0679536375904546,0.997632564219787,0.8453250039656564
0.95,32,0.03,True,0.8119437098953814,1.0377691683048862,1.0168188664830087,0.8119437098953814
0.95,64,0.03,True,0.8434545649521279,1.024212987738329,0.9804234250535361,0.8434545649521279
0.95,128,0.03,True,0.8693042630572997,1.0185054811965921,0.9548820473123139,0.8693042630572997
