case,mode,policy,runs,speedup_vs_ordinary,speedup_vs_default,vs_default_ci_low,vs_default_ci_high,runs_slower_than_ordinary,runs_slower_than_default,worst_vs_ordinary,worst_vs_default
heldout-code-2048,resident_seed_batch,candidate,40,1.2963905591005698,1.0160280629863103,0.9919263224477155,1.0390170390547298,0,15,1.1241915555612283,0.8144389734384445
heldout-code-2048,resident_seed_batch,default,40,1.2759397169505513,1.0,1.0,1.0,0,0,1.0486029468465716,1.0
heldout-code-2048,resident_seed_batch,existing_cost_gate,40,1.2750410260425087,0.9992956635050201,0.9845042056959948,1.0140144813091982,0,20,1.1596716500542679,0.8727133620599148
heldout-code-2048,resident_seed_batch,fixed_1,40,0.8451622649020315,0.6623841657048956,0.6500889576960748,0.6751198982474182,40,40,0.8367703030868174,0.5995947969001033
heldout-code-2048,resident_seed_batch,fixed_2,40,1.0189813803857504,0.7986124789822188,0.7838957333335451,0.8142783856078609,6,40,0.9851176338964248,0.7183731817169463
heldout-code-2048,resident_seed_batch,fixed_3,40,1.342237492384094,1.051959959042573,1.0292466420383446,1.075560193624678,0,10,1.2234142376836672,0.9384201642176723
heldout-code-2048,resident_seed_batch,fixed_4,40,1.3561878511172887,1.0628933585973226,1.0387769166464322,1.087135620370784,0,8,1.216258790877802,0.9040237109853797
heldout-code-2048,resident_seed_batch,fixed_5,40,1.3140755835132498,1.0298884548039948,1.008494198803841,1.050773892189132,0,13,1.1661859153987362,0.9047288202494527
heldout-code-2048,resident_seed_batch,ordinary,40,1.0,0.783736086207868,0.7692474886450442,0.7988032105940526,0,40,1.0,0.7117003919939799
heldout-code-2048,separate_seed,candidate,40,1.1160339286134677,0.9640108676113245,0.9507418861443733,0.9770533745848132,0,30,1.0029933328066396,0.878314769218976
heldout-code-2048,separate_seed,default,40,1.1576984929421323,1.0,1.0,1.0,0,0,1.0186292038073106,1.0
heldout-code-2048,separate_seed,existing_cost_gate,40,1.1692553347273382,1.0099826006992856,1.001943901892464,1.0175919014063117,0,13,1.0701617224449655,0.9408981373723411
heldout-code-2048,separate_seed,fixed_1,40,0.8451622649020315,0.7300365942035282,0.7197256784662,0.741068667828932,40,40,0.8367703030868174,0.6579097782456718
heldout-code-2048,separate_seed,fixed_2,40,1.0189813803857504,0.8801785495946778,0.8683043881170915,0.8927430641253353,6,40,0.9851176338964248,0.8046045787693336
heldout-code-2048,separate_seed,fixed_3,40,1.1141028986994277,0.9623428772616675,0.9517518281377945,0.9730975898960306,0,33,1.0414711499262268,0.9032254800546239
heldout-code-2048,separate_seed,fixed_4,40,1.1589642428341136,1.0010933329357323,0.9891896960727058,1.0129275792745274,0,22,1.0599698727314344,0.9112017645595301
heldout-code-2048,separate_seed,fixed_5,40,1.163879481091169,1.0053390310056711,0.9978014029751149,1.0124910842822994,0,16,1.0396201326022352,0.9462023061300413
heldout-code-2048,separate_seed,ordinary,40,1.0,0.8637827604479617,0.8518712258587545,0.8764577498496858,0,40,1.0,0.7851410657330787
heldout-code-256,resident_seed_batch,candidate,40,1.444054163210741,1.0364672931992884,1.0061979278476076,1.0666631970522324,0,15,1.242738715947598,0.8345787601474892
heldout-code-256,resident_seed_batch,default,40,1.393246243934379,1.0,1.0,1.0,0,0,1.206119450572087,1.0
heldout-code-256,resident_seed_batch,existing_cost_gate,40,1.4051663984203477,1.0085556695651356,0.9957084072011645,1.0215411956305946,0,15,1.2798958280266801,0.9188266208351401
heldout-code-256,resident_seed_batch,fixed_1,40,0.9069838139899158,0.6509860105049988,0.6352729737801012,0.6672839840039458,40,40,0.8978519331839164,0.5253531072539209
heldout-code-256,resident_seed_batch,fixed_2,40,1.0828239947852731,0.7771949858106157,0.7592943621487541,0.7956235050992622,0,40,1.0312690943932552,0.650851014595002
heldout-code-256,resident_seed_batch,fixed_3,40,1.5349988636908,1.1017426893297246,1.079241877658664,1.125288395888452,0,4,1.4092310480868602,0.9700757922692693
heldout-code-256,resident_seed_batch,fixed_4,40,1.525194690176289,1.0947057613227809,1.0702446469456486,1.1195098082712176,0,6,1.426307088810241,0.9267413111042475
heldout-code-256,resident_seed_batch,fixed_5,40,1.502782371052051,1.078619359351979,1.0559547298874756,1.1020044842430068,0,7,1.3351864736219619,0.9333180119332013
heldout-code-256,resident_seed_batch,ordinary,40,1.0,0.7177482116701113,0.7003468235387376,0.7358285488755336,0,40,1.0,0.5824800059701092
heldout-code-256,separate_seed,candidate,40,1.1852103446885982,0.9633185083298486,0.9505452308918686,0.9762874450835983,0,35,1.0179287333383964,0.8694814237586451
heldout-code-256,separate_seed,default,40,1.2303410911760164,1.0,1.0,1.0,0,0,1.1356428337708546,1.0
heldout-code-256,separate_seed,existing_cost_gate,40,1.2184706745127012,0.9903519302505218,0.9793564387626044,1.0011840445826907,0,25,1.1367282378713264,0.8912588323481415
heldout-code-256,separate_seed,fixed_1,40,0.9069838139899158,0.7371807870961857,0.7254960236951455,0.7481041248318254,40,40,0.8978519331839164,0.6419126567351122
heldout-code-256,separate_seed,fixed_2,40,1.0828239947852731,0.8801006505848393,0.8671619146152485,0.891956475063983,0,40,1.0312690943932552,0.7798528681971765
heldout-code-256,separate_seed,fixed_3,40,1.1843901830468242,0.9626518951055514,0.9508033751409151,0.9739944615884102,0,35,1.1147954107365832,0.8593372270791737
heldout-code-256,separate_seed,fixed_4,40,1.2240492573359918,0.99488610606835,0.9827965618169926,1.006879005875276,0,23,1.126882667943766,0.8921764753779946
heldout-code-256,separate_seed,fixed_5,40,1.2362218456151204,1.0047797756908883,0.9968184710507874,1.012724985330185,0,16,1.1162262897430626,0.9421273675588817
